timestamp,temperature
2021-09-06 00:01:01,13.8
2021-09-06 00:11:01,13.6
2021-09-06 00:21:01,13.5
2021-09-06 00:21:05,13.5
2021-09-06 00:31:01,13.5
2021-09-06 00:41:00,13.4
2021-09-06 00:51:01,13.2
2021-09-06 01:01:02,13.2
2021-09-06 01:01:03,13.2
2021-09-06 01:11:01,13.3
2021-09-06 01:21:01,13.1
2021-09-06 01:31:02,13
2021-09-06 01:41:01,12.9
2021-09-06 01:51:01,12.8
2021-09-06 02:01:02,12.7
2021-09-06 02:01:03,12.7
2021-09-06 02:11:01,12.6
2021-09-06 02:21:01,12.5
2021-09-06 02:21:04,12.5
2021-09-06 02:31:02,12.4
2021-09-06 02:31:04,12.4
2021-09-06 02:41:01,12.3
2021-09-06 02:51:01,12.2
2021-09-06 03:01:01,12.2
2021-09-06 03:11:00,12.1
2021-09-06 03:21:00,12.1
2021-09-06 03:31:00,12
2021-09-06 03:41:00,11.9
2021-09-06 03:51:00,11.8
2021-09-06 04:01:00,11.8
2021-09-06 04:11:01,11.7
2021-09-06 04:21:01,11.7
2021-09-06 04:31:00,11.7
2021-09-06 04:41:00,11.5
2021-09-06 04:51:00,11.6
2021-09-06 05:01:00,11.5
2021-09-06 05:11:01,11.4
2021-09-06 05:21:01,11.6
2021-09-06 05:31:01,11.6
2021-09-06 05:41:01,11.6
2021-09-06 05:51:00,11.7
2021-09-06 06:01:00,11.8
2021-09-06 06:10:59,12.1
2021-09-06 06:21:00,12.3
2021-09-06 06:31:00,12.6
2021-09-06 06:40:59,12.9
2021-09-06 06:51:00,13.2
2021-09-06 07:01:00,13.6
2021-09-06 07:11:00,14
2021-09-06 07:21:00,14.6
2021-09-06 07:31:00,15.1
2021-09-06 07:41:00,15.5
2021-09-06 07:50:59,15.8
2021-09-06 08:00:59,16.5
2021-09-06 08:11:00,17.3
2021-09-06 08:21:00,17.9
2021-09-06 08:30:59,18.5
2021-09-06 08:41:00,19.1
2021-09-06 08:50:59,19.8
2021-09-06 09:00:59,20.4
2021-09-06 09:10:59,21
2021-09-06 09:20:59,21.2
2021-09-06 09:30:59,21.4
2021-09-06 09:40:59,21.6
2021-09-06 09:50:59,22.1
2021-09-06 10:00:59,22.6
2021-09-06 10:11:03,23
2021-09-06 10:20:59,23.3
2021-09-06 10:30:59,23.4
2021-09-06 10:41:00,23.3
2021-09-06 10:50:59,23.5
2021-09-06 11:00:59,23.8
2021-09-06 11:10:59,23.9
2021-09-06 11:20:59,24.4
2021-09-06 11:30:59,24.4
2021-09-06 11:40:59,24.9
2021-09-06 11:50:59,25.3
2021-09-06 12:00:59,25.4
2021-09-06 12:10:59,25
2021-09-06 12:20:59,25
2021-09-06 12:30:59,25.5
2021-09-06 12:40:59,25.1
2021-09-06 12:50:58,25.3
2021-09-06 13:00:58,25.6
2021-09-06 13:10:59,25.4
2021-09-06 13:20:58,25.4
2021-09-06 13:30:59,25.5
2021-09-06 13:40:59,25.3
2021-09-06 13:50:59,25.7
2021-09-06 14:00:58,25.9
2021-09-06 14:10:58,25.9
2021-09-06 14:20:59,26.5
2021-09-06 14:30:59,25.5
2021-09-06 14:40:59,24.6
2021-09-06 14:50:58,24.5
2021-09-06 15:00:58,24.9
2021-09-06 15:10:58,25.5
2021-09-06 15:20:58,25.4
2021-09-06 15:30:58,25.3
2021-09-06 15:40:58,25.3
2021-09-06 15:50:58,25.7
2021-09-06 16:00:58,25.7
2021-09-06 16:10:58,25.5
2021-09-06 16:20:58,25.3
2021-09-06 16:30:58,24.6
2021-09-06 16:40:58,24.1
2021-09-06 16:50:57,23.5
2021-09-06 17:00:58,22.8
2021-09-06 17:10:58,23
2021-09-06 17:20:58,23
2021-09-06 17:30:59,22.5
2021-09-06 17:40:58,22.1
2021-09-06 17:50:58,21.4
2021-09-06 18:00:58,20.7
2021-09-06 18:10:57,19.9
2021-09-06 18:20:58,19.4
2021-09-06 18:30:58,18.8
2021-09-06 18:40:58,18.5
2021-09-06 18:50:57,18.1
2021-09-06 19:00:58,17.9
2021-09-06 19:10:57,17.7
2021-09-06 19:20:58,17.4
2021-09-06 19:30:57,17.1
2021-09-06 19:40:57,16.8
2021-09-06 19:50:58,16.6
2021-09-06 20:00:58,16.4
2021-09-06 20:10:57,16.2
2021-09-06 20:20:58,16.1
2021-09-06 20:30:57,15.9
2021-09-06 20:40:57,15.8
2021-09-06 20:41:03,15.8
2021-09-06 20:50:57,15.6
2021-09-06 21:00:58,15.5
2021-09-06 21:10:57,15.4
2021-09-06 21:20:56,15.2
2021-09-06 21:30:56,15
2021-09-06 21:40:57,14.9
2021-09-06 21:50:57,14.7
2021-09-06 22:01:01,14.6
2021-09-06 22:01:04,14.6
2021-09-06 22:11:04,14.6
2021-09-06 22:21:02,14.5
2021-09-06 22:31:02,14.4
2021-09-06 22:41:03,14.3
2021-09-06 22:51:01,14.2
2021-09-06 23:01:01,14.1
2021-09-06 23:11:01,14
2021-09-06 23:21:02,13.9
2021-09-06 23:31:02,13.8
2021-09-06 23:31:03,13.8
2021-09-06 23:41:01,13.6
2021-09-06 23:51:02,13.5
