Name,impervious250,green250,water250
AWV-Boechout,0.430003972417165,0.568992737606568,0.001003289976267
AWV-Kontich,0.479777941888003,0.519417352109807,0.00080470600219
AWV-Ranst,0.457613047154339,0.542117004696079,0.000269948149582
AWV-Stabroek,0.422806999674055,0.538782390808344,0.038410609517601
Infrabel-Berchem,0.399256448778997,0.600743551221003,0
Infrabel-Ekeren,0.409581917911474,0.590418082088526,0
Infrabel-Lier,0.620973450876737,0.379021456254806,5.09286845630074E-06
VLINDER-Beveren,0.326714369381987,0.19444882992539,0.478836800692623
VLINDER-Eilandje,0.649246927351537,0.039983904568352,0.31076916808011
VLINDER-ITG,0.902062144446878,0.097937855553122,0
VLINDER-Kontich,0.56164013752706,0.437779192665223,0.000580669807717
VLINDER-Linkeroever,0.586802955991179,0.413197044008821,0
VLINDER-Zoo,0.704713060484446,0.288528530975615,0.006758408539939
VMM-Lier,0.746480809973924,0.223221561277705,0.03029762874837
VMM-Luchtbal,0.714877253743506,0.285122746256494,0
VMM-Melsele,0.19020335823746,0.743721766410495,0.066074875352045
VMM-Stabroek,0.030801982164593,0.968566495714308,0.000631522121099
VMM-Vremde,0.014024688340259,0.985975311659741,0
WOW-Borgerhout,0.879428361888076,0.120571638111924,0
WOW-Kruibeke,0.462620511227343,0.537379488772657,0
