"Name","impervious250","green250","water250"
"AWV-Deinze",0.510852405251525,0.489147594748475,0
"AWV-Destelbergen",0.328418414900607,0.671581585099393,0
"AWV-Evergem",0.23650623885918,0.412696715049656,0.350797046091164
"AWV-Nevele",0.115738005500662,0.883615157380055,0.000646837119282876
"AWV-Oosterzele",0.366725240023429,0.633274759976571,0
"AWV-Terdonk",0.212904112937725,0.338426123978895,0.448669763083379
"Infrabel-St-Pieters",0.762819076333856,0.237180923666144,0
"MOCCA-Botanic garden",0.583672076367452,0.390308383508053,0.0260195401244944
"MOCCA-Harbour",0.948080654772515,0.0444579129380727,0.0074614322894119
"MOCCA-Melle",0.0890390726857888,0.910950741525424,1.01857887874837e-05
"MOCCA-St-Bavo",0.827389320131206,0.113506713118595,0.0591039667501986
"MOCCA-Wondelgem",0.302718559336708,0.692753903663791,0.0045275369995009
"VLINDER-Gentbrugge",0.194754265342501,0.732294372294372,0.0729513623631271
"VLINDER-Melle",0.0900173168992564,0.909972496689416,1.01864113272894e-05
"VLINDER-Observatory",0.872695606119248,0.120276629117353,0.00702776476339859
"VLINDER-Oostakker",0.566098466521688,0.428503037926978,0.00539849555133409
"VLINDER-Ottogracht",0.824216342848412,0.121051157342568,0.0547324998090194
"VLINDER-UGent",0.452334630350195,0.547665369649806,0
"WOW-Belfort",0.95055308833116,0.0490292943285528,0.000417617340286832
"WOW-De Pinte",0.417616052557867,0.582383947442133,0
"WOW-Destelbergen",0.144820279830696,0.837342678001151,0.0178370421681531
"WOW-Lovendegem",0.339993480763158,0.659532855935052,0.000473663301789734
"WOW-Merendree",0.242931579832018,0.740321192272234,0.0167472278957475
"WOW-Nazareth",0.286970826712301,0.708684757364625,0.00434441592307379
"WOW-Wetteren",0.263404498044329,0.729730280312907,0.00686522164276402
"WOW-Zaffelare",0.127575265230036,0.871197265953275,0.0012274688166895
"WOW-Zevergem",0.278931070660976,0.721068929339024,0
"WOW-Zwijnaarde",0.521603837966122,0.477749371033949,0.0006467909999287
